movie_title,gross,budget,genres,title_year,duration,profit,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,profit_norm
Avatar ,760505847.0,237000000.0,Action|Adventure|Fantasy|Sci-Fi,2009.0,178.0,523505847.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.0
Pirates of the Caribbean: At World's End ,309404152.0,300000000.0,Action|Adventure|Fantasy,2007.0,169.0,9404152.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9596365244026769
Spectre ,200074175.0,245000000.0,Action|Adventure|Thriller,2015.0,148.0,-44925825.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9553709350802323
The Dark Knight Rises ,448130642.0,250000000.0,Action|Thriller,2012.0,164.0,198130642.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9744539372759867
John Carter ,73058679.0,263700000.0,Action|Adventure|Sci-Fi,2012.0,132.0,-190641321.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.943930428417542
Spider-Man 3 ,336530303.0,258000000.0,Action|Adventure|Romance,2007.0,156.0,78530303.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.9650638002435499
Tangled ,200807262.0,260000000.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,2010.0,100.0,-59192738.0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0.954250802234289
Avengers: Age of Ultron ,458991599.0,250000000.0,Action|Adventure|Sci-Fi,2015.0,141.0,208991599.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9753066595624462
Harry Potter and the Half-Blood Prince ,301956980.0,250000000.0,Adventure|Family|Fantasy|Mystery,2009.0,153.0,51956980.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.9629774587961631
Batman v Superman: Dawn of Justice ,330249062.0,250000000.0,Action|Adventure|Sci-Fi,2016.0,183.0,80249062.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9651987445310884
Superman Returns ,200069408.0,209000000.0,Action|Adventure|Sci-Fi,2006.0,169.0,-8930592.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9581970154509952
Quantum of Solace ,168368427.0,200000000.0,Action|Adventure,2008.0,106.0,-31631573.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9564147017540354
Pirates of the Caribbean: Dead Man's Chest ,423032628.0,225000000.0,Action|Adventure|Fantasy,2006.0,151.0,198032628.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9744462419391776
The Lone Ranger ,89289910.0,215000000.0,Action|Adventure|Western,2013.0,150.0,-125710090.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9490283500611824
Man of Steel ,291021565.0,225000000.0,Action|Adventure|Fantasy|Sci-Fi,2013.0,143.0,66021565.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.964081706338926
The Chronicles of Narnia: Prince Caspian ,141614023.0,225000000.0,Action|Adventure|Family|Fantasy,2008.0,150.0,-83385977.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9523513274387494
The Avengers ,623279547.0,220000000.0,Action|Adventure|Sci-Fi,2012.0,173.0,403279547.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9905607171238631
Pirates of the Caribbean: On Stranger Tides ,241063875.0,250000000.0,Action|Adventure|Fantasy,2011.0,136.0,-8936125.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9581965810406196
Men in Black 3 ,179020854.0,225000000.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,2012.0,106.0,-45979146.0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.9552882360794448
The Hobbit: The Battle of the Five Armies ,255108370.0,250000000.0,Adventure|Fantasy,2014.0,164.0,5108370.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9592992512646678
The Amazing Spider-Man ,262030663.0,230000000.0,Action|Adventure|Fantasy,2012.0,153.0,32030663.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9614129912641624
Robin Hood ,105219735.0,200000000.0,Action|Adventure|Drama|History,2010.0,156.0,-94780265.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9514567319334051
The Hobbit: The Desolation of Smaug ,258355354.0,225000000.0,Adventure|Fantasy,2013.0,186.0,33355354.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.961516996237055
The Golden Compass ,70083519.0,180000000.0,Adventure|Family|Fantasy,2007.0,113.0,-109916481.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9502683478236196
King Kong ,218051260.0,207000000.0,Action|Adventure|Drama|Romance,2005.0,201.0,11051260.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.959765843181842
Captain America: Civil War ,407197282.0,250000000.0,Action|Adventure|Sci-Fi,2016.0,147.0,157197282.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9712401515726028
